vendor,model,iOS_version,region3,ruleid,inc_num,call_num,inc_ratio
Apple,A1905,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,556,394038,0.0014110314
Apple,A1905,12.2,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,273,394038,0.0006928266
Apple,A1905,12.2,WASHINGTON DC,DROP_CC_OTHER_VOLTE_IMS,22,394038,0.0000558322
Apple,A1905,12.2,WASHINGTON DC,DROP_CC_481_VOLTE_IMS,780,394038,0.0019795045
Apple,A1905,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,224,394038,0.0005684731
Apple,A1778,12.2,WASHINGTON DC,MUTING_VOLTE_VOICE,6140,382188,0.0160653919
Apple,A1778,12.2,WASHINGTON DC,DROP_CC_481_VOLTE_IMS,844,382188,0.0022083373
Apple,A1778,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,221,382188,0.0005782494
Apple,A1778,12.2,WASHINGTON DC,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,688,382188,0.0018001612
Apple,A1778,12.2,WASHINGTON DC,DROP_CC_408_VOLTE_IMS,45,382188,0.0001177431
Apple,A1778,12.2,WASHINGTON DC,DROP_CC_OTHER_VOLTE_IMS,11,382188,0.0000287816
Apple,A1778,12.2,WASHINGTON DC,CALL_SETUP_DELAY_VOLTE_IMS,2179,382188,0.0057013826
Apple,A1778,12.2,WASHINGTON DC,GARBLING_VOLTE_VOICE,36529,382188,0.0955786158
Apple,A1778,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,482,382188,0.0012611594
Apple,A1778,12.2,WASHINGTON DC,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,35,382188,0.0000915780
Apple,A1778,12.2,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,214,382188,0.0005599339
Apple,A1901,12.2,WASHINGTON DC,DROP_CC_408_VOLTE_IMS,38,323953,0.0001173010
Apple,A1901,12.2,WASHINGTON DC,DROP_CC_481_VOLTE_IMS,663,323953,0.0020465932
Apple,A1901,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_OTHER_VOLTE_IMS,132,323953,0.0004074665
Apple,A1901,12.2,WASHINGTON DC,MUTING_VOLTE_VOICE,4609,323953,0.0142273725
Apple,A1901,12.2,WASHINGTON DC,IMMEDIATE_VOLUNTARY_DROP_DUE_TO_MEDIA_STOP_VOLTE,16,323953,0.0000493899
Apple,A1901,12.2,WASHINGTON DC,DROP_CC_503_VOLTE_IMS,295,323953,0.0009106259
Apple,A1901,12.2,WASHINGTON DC,SOFT_DROP_DUE_TO_MEDIA_STOP_VOLTE_IMS,551,323953,0.0017008640
Apple,A1901,12.2,WASHINGTON DC,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,496,323953,0.0015310863
Apple,A1901,12.2,WASHINGTON DC,CALL_SETUP_DELAY_VOLTE_IMS,1859,323953,0.0057384868
Apple,A1901,12.2,WASHINGTON DC,DROP_CC_OTHER_VOLTE_IMS,14,323953,0.0000432161
Apple,A1901,12.2,WASHINGTON DC,GARBLING_VOLTE_VOICE,28539,323953,0.0880961127
Apple,A1897,12.2,SEATTLE,MUTING_VOLTE_VOICE,3007,320415,0.0093847042
Apple,A1897,12.2,SEATTLE,DROP_CC_408_VOLTE_IMS,113,320415,0.0003526676
Apple,A1897,12.2,SEATTLE,ACCESS_FAILURE_CC_503(1:223)_VOLTE_IMS,299,320415,0.0009331648
Apple,A1897,12.2,SEATTLE,DROP_CC_OTHER_VOLTE_IMS,19,320415,0.0000592981
Apple,A1897,12.2,SEATTLE,CALL_SETUP_DELAY_VOLTE_IMS,2088,320415,0.0065165489
Apple,A1897,12.2,SEATTLE,DROP_CC_503_VOLTE_IMS,211,320415,0.0006585210
